ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default"
185,variable,,"Women's Train Sport Half Zip Training Pullover",1,0,visible,"Elevate your athletic performance with our cutting-edge sports accessories. From high-performance compression sleeves to ergonomic water bottles and durable sports towels, our collection is designed to enhance your comfort, style, and functionality. Whether you're hitting the gym, the track, or the field, our sports accessories are crafted for peak performance, providing the perfect blend of quality and style to fuel your passion for sports.","[elementor-template id=""186""]",,,taxable,,1,,,0,0,,,,,1,,,,Women,"clothing, fitness, m1, m11, sport, tennis, women",,"https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p01_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p01_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p02_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p02_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p03_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p03_2.jpg",,,,,,,,,1,"{""Size"":{""name"":""Size"",""type"":""button"",""terms"":{""Large"":{""name"":""Large"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Medium"":{""name"":""Medium"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Small"":{""name"":""Small"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}},""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#afafaf"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Size,"Large, Medium, Small",1,1,Large,Color,"Blue, Gray, Green, Red, Yellow",1,1,Blue
189,variation,,"Women's Train Sport Half Zip Training Pullover",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,59.99,,,,,,,id:185,,,,,,1,,Size,,,1,,Color,,,1,
222,simple,,"Women's Stewie Basketball All Over Print Jacket",1,0,visible,"Elevate your athletic performance with our cutting-edge sports accessories. From high-performance compression sleeves to ergonomic water bottles and durable sports towels, our collection is designed to enhance your comfort, style, and functionality. Whether you're hitting the gym, the track, or the field, our sports accessories are crafted for peak performance, providing the perfect blend of quality and style to fuel your passion for sports.","[elementor-template id=""186""]",,,taxable,,1,,,0,0,,,,,1,,69.99,99.99,Women,"clothing, fitness, m1, m11, sport, tennis, women",,"https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p02_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p02_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p01_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p02_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p03_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p03_2.jpg",,,,,,,,,2,"{""Size"":{""name"":""Size"",""type"":""button"",""terms"":{""Large"":{""name"":""Large"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Medium"":{""name"":""Medium"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Small"":{""name"":""Small"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}},""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#afafaf"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Size,"Large, Medium, Small",1,1,,Color,"Blue, Gray, Green, Red, Yellow",1,1,
224,simple,,"Women's Classic Sports Bra, Medium Impact",1,0,visible,"Elevate your athletic performance with our cutting-edge sports accessories. From high-performance compression sleeves to ergonomic water bottles and durable sports towels, our collection is designed to enhance your comfort, style, and functionality. Whether you're hitting the gym, the track, or the field, our sports accessories are crafted for peak performance, providing the perfect blend of quality and style to fuel your passion for sports.","[elementor-template id=""186""]",,,taxable,,1,,,0,0,,,,,1,,,29.99,Women,"clothing, fitness, m1, m11, sport, tennis, women",,"https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p03_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p03_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p06_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p06_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p07_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p07_2.jpg",,,,,,,,,3,"{""Size"":{""name"":""Size"",""type"":""button"",""terms"":{""Large"":{""name"":""Large"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Medium"":{""name"":""Medium"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Small"":{""name"":""Small"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}},""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#afafaf"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Size,"Large, Medium, Small",1,1,,Color,"Blue, Gray, Green, Red, Yellow",1,1,
225,grouped,,"Nike Pro Women's 365 Tights Long",1,0,visible,"Elevate your athletic performance with our cutting-edge sports accessories. From high-performance compression sleeves to ergonomic water bottles and durable sports towels, our collection is designed to enhance your comfort, style, and functionality. Whether you're hitting the gym, the track, or the field, our sports accessories are crafted for peak performance, providing the perfect blend of quality and style to fuel your passion for sports.","[elementor-template id=""186""]",,,taxable,,1,,,0,0,,,,,1,,,,Women,"clothing, fitness, m1, m11, sport, tennis, women",,"https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p04_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p04_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p05_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p011_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p011_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p06_2.jpg",,,,"id:185, id:222, id:224",,,,,4,"{""Size"":{""name"":""Size"",""type"":""button"",""terms"":{""Large"":{""name"":""Large"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Medium"":{""name"":""Medium"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Small"":{""name"":""Small"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}},""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#afafaf"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Size,"Large, Medium, Small",1,1,,Color,"Blue, Gray, Green, Red, Yellow",1,1,
227,external,,"Nike Women's Performance Game Shorts",1,0,visible,"Elevate your athletic performance with our cutting-edge sports accessories. From high-performance compression sleeves to ergonomic water bottles and durable sports towels, our collection is designed to enhance your comfort, style, and functionality. Whether you're hitting the gym, the track, or the field, our sports accessories are crafted for peak performance, providing the perfect blend of quality and style to fuel your passion for sports.","[elementor-template id=""186""]",,,taxable,,1,,,0,0,,,,,1,,,19.99,Women,"clothing, fitness, m1, m11, sport, tennis, women",,"https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p05_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p05_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p011_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p011_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p06_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p06_1.jpg",,,,,,,https://natsy.novaworks.net/shop/,,5,"{""Size"":{""name"":""Size"",""type"":""button"",""terms"":{""Large"":{""name"":""Large"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Medium"":{""name"":""Medium"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Small"":{""name"":""Small"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}},""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#afafaf"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Size,"Large, Medium, Small",1,1,,Color,"Blue, Gray, Green, Red, Yellow",1,1,
237,variable,,"Champion Men's Packable Jacket",1,0,visible,"Elevate your athletic performance with our cutting-edge sports accessories. From high-performance compression sleeves to ergonomic water bottles and durable sports towels, our collection is designed to enhance your comfort, style, and functionality. Whether you're hitting the gym, the track, or the field, our sports accessories are crafted for peak performance, providing the perfect blend of quality and style to fuel your passion for sports.","[elementor-template id=""186""]",,,taxable,,1,,,0,0,,,,,1,,,,Men,"clothing, fitness, m1, m12, men, sport, tennis",,"https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p06_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p06_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p07_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p07_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p08_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p09_1.jpg",,,,,,,,,6,"{""Size"":{""name"":""Size"",""type"":""button"",""terms"":{""Large"":{""name"":""Large"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Medium"":{""name"":""Medium"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Small"":{""name"":""Small"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}},""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#afafaf"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Size,"Large, Medium, Small",1,1,Large,Color,"Blue, Gray, Green, Red, Yellow",1,1,Blue
238,variation,,"Champion Men's Packable Jacket",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,55.99,,,,,,,id:237,,,,,,1,,Size,,,1,,Color,,,1,
239,variable,,"Nike Sportswear Men's Club T Shirt",1,0,visible,"Elevate your athletic performance with our cutting-edge sports accessories. From high-performance compression sleeves to ergonomic water bottles and durable sports towels, our collection is designed to enhance your comfort, style, and functionality. Whether you're hitting the gym, the track, or the field, our sports accessories are crafted for peak performance, providing the perfect blend of quality and style to fuel your passion for sports.","[elementor-template id=""186""]",,,taxable,,1,,,0,0,,,,,1,,,,Men,"clothing, fitness, m1, m12, men, sport, tennis",,"https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p07_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p07_2.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p08_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p09_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p10_1.jpg, https://natsy.novaworks.net/wp-content/uploads/2023/11/m1_p10_2.jpg",,,,,,,,,7,"{""Size"":{""name"":""Size"",""type"":""button"",""terms"":{""Large"":{""name"":""Large"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Medium"":{""name"":""Medium"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Small"":{""name"":""Small"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}},""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#afafaf"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Size,"Large, Medium, Small",1,1,Large,Color,"Blue, Gray, Green, Red, Yellow",1,1,Blue
240,variation,,"Nike Sportswear Men's Club T Shirt",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,59.99,,,,,,,id:239,,,,,,1,,Size,,,1,,Color,,,1,
